db,FFM,dataset,Model,Baseline,Mixup,"Mixup, LF","Mixup, HF","Mixup, RF","Mixup, LF, HF","Mixup, LF, RF","Mixup, HF, RF","Mixup, LF, HF, RF"
ADD,Mask,ADD Mask,BC-ResMax,22.31,15.87,16.29,16.05,14.02,14.9,12.09,12.64,12.77
ADD,Mask,ADD Mask,DDWS,22.53,17.19,16.88,17.31,13.4,15.99,15.52,15.6,16.7
ADD,Mask,ADD Mask,LCNN,20.14,20.14,19.88,19.7,18.45,19.56,16.81,20.24,19
ADD,Mask,ADD Mask,ResMax,19.97,15.6,16.49,17.37,15.22,19.62,16.89,17.33,17.48
ADD,Mask,ADD Mask,OFD,21.35,17.12,17.2,17.39,17.11,19.6,16.66,16.04,17.78
ADD,Blur,ADD Blur,BC-ResMax,22.95,15.78,13.95,17.02,13.32,16.23,11.88,14.54,14.33
ADD,Blur,ADD Blur,DDWS,26.07,18.32,18.34,18.04,14.72,17.68,15.59,14.89,14.74
ADD,Blur,ADD Blur,LCNN,20.77,17.98,19.41,20.8,19.07,20.45,18.08,19.98,18.33
ADD,Blur,ADD Blur,ResMax,22.11,16.67,17.33,18.29,16.06,19.5,15.95,16.49,16.7
ADD,Blur,ADD Blur,OFD,,,18.45,17.88,16.44,17.63,17.39,17.44,17.57
ASV,Mask,ASV Mask,BC-ResMax,3.83,3.67,3.2,2.73,5.17,2.47,4.99,4.06,4.34
ASV,Mask,ASV Mask,DDWS,2.63,4.06,3.28,2.66,6.65,2.45,5.8,4.78,4.33
ASV,Mask,ASV Mask,LCNN,3.18,3.11,2.88,2.04,3.52,1.93,3.3,2.56,2.45
ASV,Mask,ASV Mask,ResMax,4.45,3.51,3.6,2.08,4.57,2.15,4.97,3.21,3.78
ASV,Mask,ASV Mask,OFD,2.68,2.87,2.58,1.49,3.25,1.88,3.32,1.99,2.49
ASV,Blur,ASV Blur,BC-ResMax,3.52,3.54,3.96,2.96,5.02,2.91,5.76,4.07,3.73
ASV,Blur,ASV Blur,DDWS,2.68,3.28,3.7,2.85,3.97,2.73,5.39,4.08,4.05
ASV,Blur,ASV Blur,LCNN,3.36,3.09,2.87,1.83,3.79,1.88,3.72,2.75,2.3
ASV,Blur,ASV Blur,ResMax,4.27,3.33,3.67,2.4,4.09,2.31,4.74,3.24,3.39
ASV,Blur,ASV Blur,OFD,,,2.88,1.69,2.89,1.81,3.41,2.46,2.27
