db,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ASV,ASV,ASV,ASV,ASV,ASV,ASV,ASV,ASV,ASV
FFM,Mask,Mask,Mask,Mask,Mask,Blur,Blur,Blur,Blur,Blur,Mask,Mask,Mask,Mask,Mask,Blur,Blur,Blur,Blur,Blur
dataset,ADD Mask,ADD Mask,ADD Mask,ADD Mask,ADD Mask,ADD Blur,ADD Blur,ADD Blur,ADD Blur,ADD Blur,ASV Mask,ASV Mask,ASV Mask,ASV Mask,ASV Mask,ASV Blur,ASV Blur,ASV Blur,ASV Blur,ASV Blur
Model,BC-ResMax,DDWS,LCNN,ResMax,OFD,BC-ResMax,DDWS,LCNN,ResMax,OFD,BC-ResMax,DDWS,LCNN,ResMax,OFD,BC-ResMax,DDWS,LCNN,ResMax,OFD
Baseline,22.31,22.53,20.14,19.97,21.35,22.95,26.07,20.77,22.11,,3.83,2.63,3.18,4.45,2.68,3.52,2.68,3.36,4.27,
Mixup,15.87,17.19,20.14,15.6,17.12,15.78,18.32,17.98,16.67,,3.67,4.06,3.11,3.51,2.87,3.54,3.28,3.09,3.33,
"Mixup, LF",16.29,16.88,19.88,16.49,17.2,13.95,18.34,19.41,17.33,18.45,3.2,3.28,2.88,3.6,2.58,3.96,3.7,2.87,3.67,2.88
"Mixup, HF",16.05,17.31,19.7,17.37,17.39,17.02,18.04,20.8,18.29,17.88,2.73,2.66,2.04,2.08,1.49,2.96,2.85,1.83,2.4,1.69
"Mixup, RF",14.02,13.4,18.45,15.22,17.11,13.32,14.72,19.07,16.06,16.44,5.17,6.65,3.52,4.57,3.25,5.02,3.97,3.79,4.09,2.89
"Mixup, LF, HF",14.9,15.99,19.56,19.62,19.6,16.23,17.68,20.45,19.5,17.63,2.47,2.45,1.93,2.15,1.88,2.91,2.73,1.88,2.31,1.81
"Mixup, LF, RF",12.09,15.52,16.81,16.89,16.66,11.88,15.59,18.08,15.95,17.39,4.99,5.8,3.3,4.97,3.32,5.76,5.39,3.72,4.74,3.41
"Mixup, HF, RF",12.64,15.6,20.24,17.33,16.04,14.54,14.89,19.98,16.49,17.44,4.06,4.78,2.56,3.21,1.99,4.07,4.08,2.75,3.24,2.46
"Mixup, LF, HF, RF",12.77,16.7,19,17.48,17.78,14.33,14.74,18.33,16.7,17.57,4.34,4.33,2.45,3.78,2.49,3.73,4.05,2.3,3.39,2.27
